,rain,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090601-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090601-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090601-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090601-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090601-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090602-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090602-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090602-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090602-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090602-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090603-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090603-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090603-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090603-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090603-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090604-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090604-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090604-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090604-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090604-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090605-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090605-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090605-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090605-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090605-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090606-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090606-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090606-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090606-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090606-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090607-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090607-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090607-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090607-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090607-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090608-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090608-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090608-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090608-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090608-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090609-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090609-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090609-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090609-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090609-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090610-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090610-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090610-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090610-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090610-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090611-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090611-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090611-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090611-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090611-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090612-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090612-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090612-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090612-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090612-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090613-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090613-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090613-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090613-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090613-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090614-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090614-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090614-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090614-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090614-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090615-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090615-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090615-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090615-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090615-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090616-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090616-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090616-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090616-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090616-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090617-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090617-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090617-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090617-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090617-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090618-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090618-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090618-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090618-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090618-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090619-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090619-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090619-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090619-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090619-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090620-053000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090620-060000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090620-063000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090620-070000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090620-073000.wav,1,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090621-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090621-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090621-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090621-070000.wav,0,*
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090621-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090622-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090622-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090622-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090622-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090622-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090623-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090623-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090623-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090623-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090623-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090624-053000.wav,0,*
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090624-060000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090624-063000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090624-070000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090624-073000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090625-053000.wav,0,
/home/jeffdoser/Dropbox/Sounds for Jeff/ALL LA SITES-YEARS-0530-0700/LA0320090625-060000.wav,0,
