540340901
STAND 175 012 001 0076.0 10.00
012 001 31 01 01 02 05
012 001 80 03 03 06 13
012 002 30 01 00 00 04
012 002 31 03 00 00 08
012 002 80 02 01 02 09
012 003 30 05 03 03 19
012 003 80 02 01 02 08
012 003 99 02 00 00 02
012 004 30 02 01 02 11
012 004 31 04 03 04 16
012 004 80 02 01 01 07
012 004 99 01 00 00 03
012 005 30 05 02 03 19
012 005 80 01 00 00 03
012 006 08 01 00 00 03
012 006 30 04 02 02 22
012 007 30 03 01 02 14
012 007 80 05 03 04 16
012 008 31 01 01 02 05
012 008 80 04 00 00 08
012 009 30 02 01 01 05
012 009 31 02 02 03 10
012 009 80 03 00 00 07
012 010 08 02 00 00 07
012 010 31 03 03 05 14
012 010 80 01 01 01 03
012 011 80 02 00 00 07
012 011 99 03 00 00 04
012 012 31 12 11 33 62
012 012 99 03 00 00 04
012 013 30 02 00 00 04
012 013 31 04 04 06 22
012 013 80 01 00 00 04
012 013 99 01 00 00 02
012 014 30 01 00 00 04
012 014 80 02 01 02 07
012 015 30 02 01 01 06
012 015 31 03 03 05 13
012 015 80 01 00 00 03
012 016 30 05 02 02 18
012 017 30 06 01 01 24
012 017 80 03 03 05 16
012 017 99 01 00 00 03
012 018 30 09 05 06 38
012 019 30 06 03 03 31
012 019 80 01 00 00 02
012 020 30 04 01 01 11
012 020 31 01 01 03 06
012 020 80 05 01 01 16
012 020 99 02 00 00 03
012 021 30 02 01 01 09
012 021 31 01 01 02 06
012 021 80 02 00 00 07
012 022 30 02 01 02 09
012 022 80 04 02 03 15
012 023 80 02 00 00 07
012 023 99 01 00 00 01
012 024 80 05 04 06 25
012 024 99 03 01 01 08
012 025 80 03 02 08 17
012 025 99 02 00 00 05
012 027 08 01 00 00 02
012 027 80 03 01 01 09
012 027 99 02 00 00 03
012 028 08 04 02 02 09
012 028 31 03 02 04 14
012 028 99 02 00 00 03
012 029 08 01 00 00 03
012 029 30 04 02 03 14
012 029 31 03 02 03 11
012 029 80 01 01 01 04
012 030 30 02 01 01 06
012 030 80 03 02 02 12
012 031 08 01 01 01 03
012 031 80 06 01 01 21
012 032 30 02 00 00 08
012 032 80 02 00 00 05
012 033 31 02 01 02 06
012 033 80 02 00 00 07
012 034 30 02 00 00 04
012 034 31 07 06 13 33
012 034 80 01 01 01 04
012 035 30 01 01 02 06
012 035 31 08 06 12 37
012 035 80 01 00 00 03
012 036 30 09 05 08 36
012 036 31 04 04 07 24
012 037 30 06 04 04 34
012 037 31 01 01 01 06
012 038 30 05 02 02 19
012 038 31 01 00 00 01
012 039 08 02 01 01 03
012 039 30 02 02 03 10
012 039 31 09 05 13 36
012 040 30 03 01 02 12
012 040 31 04 02 03 15
012 041 30 01 01 01 04
012 041 31 03 01 01 10
012 041 99 01 00 00 02
012 042 31 01 01 01 04
012 042 32 04 00 00 09
012 042 80 01 01 01 04
012 043 31 02 02 05 11
012 043 32 03 00 00 04
012 044 80 02 01 02 09
012 044 99 01 00 00 03
012 045 05 04 02 05 18
012 045 80 01 00 00 03
012 046 31 02 01 01 06
012 046 99 09 05 06 23
012 047 31 01 01 03 06
012 047 32 02 00 00 04
012 047 80 02 01 03 08
012 048 31 01 01 04 06
012 048 32 05 00 00 11
012 049 30 01 00 00 01
012 049 31 02 01 02 06
012 049 80 02 00 00 03
012 049 99 02 00 00 04
012 050 08 01 01 02 05
012 050 30 03 01 01 07
012 050 31 07 04 08 26
012 050 80 01 00 00 04
012 051 30 04 01 01 15
012 051 31 03 02 05 13
012 051 80 04 01 03 17
012 051 99 01 00 00 02
012 052 08 02 01 01 04
012 052 30 06 04 04 27
012 053 30 09 04 06 39
012 053 31 02 02 04 09
012 054 30 01 01 01 04
012 054 31 03 02 03 12
012 054 80 03 02 03 11
012 055 30 03 01 01 07
012 055 31 01 01 03 06
012 055 99 03 00 00 05
012 056 08 02 02 03 07
012 056 30 02 00 00 04
012 056 31 01 01 02 05
012 056 80 03 02 03 12
012 056 99 01 00 00 03
